id;name
1;Sir James Paul McCartney, CH MBE
2;FRANZ VON HOLZHAUSEN
3;DR. JANE GOODALL, DB
4;PROF. JENNIFER A. DOUDNA, Ph.D
5;MAE JEMISON 
6;DAVID DEUTSCH 
7;TU YOUYOU
8;JEFF BEZOS 
9;NAVAL RAVIKANT 
10;RAY DALIO 
11;ABIGAIL JOHNSON 
12;WHITNEY WOLFE HERD
13;JACK MA 
14;NERI OXMAN
15;BOYAN SLAT
16;IRIS VAN HERPEN
17;MERYL STREEP
18;YO‑YO MA
19;HAYAO MIYAZAKI
20;CHIMAMANDA NGOZI ADICHIE
21;LIN‑MANUEL MIRANDA
22;BILLIE EILISH
23;TAYLOR SWIFT
24;ROGER FEDERER
25;SIMONE BILES
26;ALEX HONNOLD 
27;LIONEL MESSI
28;ALEX COOPER
29;DAVID ATTENBOROUGH
30;JOSÉ ANDRÉS
31;NASSIM NICHOLAS TALEB
